Name,HDFC_ID,Category
FRANKLIN TEMPLETON ASSET MANAGEMENT INDIA PRIVATE LIMITED,3063,A
FRACTAL ANALYTICS PRIVATE LIMITED,3065,A
IFGL REFRACTORIES LIMITED,6350,A
KIRAN GEMS PRIVATE LIMITED,6377,A
EUREKA STOCK AND SHARE BROKING SERVICES LIMITED,5063,A
EXPRESS INFRASTRUCTURE PRIVATE LIMITED,5102,A
GUJARAT ENERGY TRANSMISSION CORPORATION LIMITED,5943,A
GULBRANDSEN TECHNOLOGIES INDIA PRIVATE LIMITED,5967,A
ROOTS INDUSTRIES INDIA LIMITED,5827,A
SUDARSHAN CHEMICAL INDUSTRIES LIMITED,5784,A
HONDA LOGISTICS INDIA PRIVATE LIMITED,6178,A
RASI SEEDS PRIVATE LIMITED,6504,A
Q2AMEDIA SERVICES PRIVATE LIMITED,6526,A
INDEPENDENT NEWS SERVICE PVTLTD,6467,A
DCM SHRIRAM LIMITED,6459,A
INJECTOPLAST PRIVATE LIMITED,5222,A
JINDAL STAINLESS LTD,5176,A
T STANES AND COMPANY LIMITED,5968,A
JAYA HIND INDUSTRIES LIMITED,6053,A
SIEMENS TECHNOLOGY AND SERVICES PRIVATE LIMITED,6741,A
SHIPPING CORPORATION OF INDIA LIMITED,6749,A
TURBO ENERGY PRIVATE LIMITED,6768,A
TUFROPES PRIVATE LIMITED,6769,A
TRAVELEX INDIA PRIVATE LIMITED,6772,A
MACO CORPORATION INDIA PRIVATE LIMITED,7233,A
BOTHRA SHIPPING SERVICES PRIVATE LIMITED,4794,A
APOLLO TYRES LIMITED,4123,A
AUROBINDO PHARMA LTD,4139,A
BHARAT HEAVY ELECTRICALS LIMITED,4171,A
MADHU SILICA PRIVATE LIMITED,7234,A
MINDA CORPORATION LIMITED,7202,A
C DOCTOR INDIA PRIVATE LIMITED,4825,A
CHLORIDE POWER SYSTEMS AND SOLUTIONS LIMITED,4834,A
MINDARIKA PRIVATE LIMITED,5037,A
METRO EXPORTERS PRIVATE LIMITED,5124,A
METLIFE GLOBAL OPERATIONS SUPPORT CENTER PRIVATE LIMITED,5131,A
MARWADI SHARES AND FINANCE LIMITED,5158,A
APM TERMINALS INDIA PRIVATE LIMITED,5199,A
LUMAX AUTO TECHNOLOGIES LIMITED,5240,A
LOK PRAKASHAN LIMITED,5252,A
DANBLOCK BRAKES INDIA PRIVATE LIMITED,4103,A
ALOK INDUSTRIES LIMITED,4111,A
VISAKA INDUSTRIES LTD.,7314,A
KESARI TOURS PRIVATE LIMITED,5306,A
KURLON LIMITED,5274,A
KHAZANA JEWELLERY PRIVATE LIMITED,5293,A
FENA PRIVATE LIMITED,4847,A
FLATWORLD SOLUTIONS PRIVATE LIMITED,4921,A
FMI AUTOMOTIVE COMPONENTS PRIVATE LIMITED,4955,A
LG SOFT INDIA PRIVATE LIMITED,4236,A
D E SHAW INDIA PRIVATE LIMITED,4262,A
